num,word,pinyin,radical,stroke_count,wuxing,traditional,wubi,pinyin_initial,pinyin_final,tone
1911,唤,huàn,口,10,水,唤,KQMD,h,uan,4
1912,唁,yàn,口,10,木,唁,KYG,y,an,4
1913,哼,"hēng,hng",口,10,水,哼,KYBH,h,eng,1
1914,唧,jī,口,10,木,唧,KVCB,j,i,1
1915,啊,"ā,a,ǎ,á,à",口,10,土,啊,KBSK,,a,5
1916,唉,"āi,ài",口,10,土,唉,KCTD,,ai,1
1917,唆,suō,口,10,金,唆,KCWT,s,uo,1
1918,罢,"bà,pí,ba",罒,10,水,罷,LFCU,b,a,4
1919,峭,qiào,山,10,土,峭,MIEG,q,iao,4
1920,峨,é,山,10,土,峨,MTRT,,e,2
1921,峰,fēng,山,10,土,峰,MTDH,f,eng,1
1922,圆,yuán,囗,10,土,圓,LKMI,y,uan,2
1923,峻,jùn,山,10,金,峻,MCWT,j,un,4
1924,贼,zéi,贝,10,金,賊,MADT,z,ei,2
1925,贿,huì,贝,10,水,賄,MDEG,h,ui,4
1926,赂,lù,贝,10,火,賂,MTKG,l,u,4
1927,赃,zāng,贝,10,金,贜,MYFG,z,ang,1
1928,钱,qián,钅,10,金,錢,QGT,q,ian,2
1929,钳,qián,钅,10,金,鉗,QAFG,q,ian,2
1930,钻,"zuàn,zuān",钅,10,金,鑽,QHKG,z,uan,4
1931,钾,jiǎ,钅,10,金,鉀,QLH,j,ia,3
1932,铁,tiě,钅,10,金,鐡,QRWY,t,ie,3
1933,铃,líng,钅,10,金,鈴,QWYC,l,ing,2
1934,铅,"qiān,yán",钅,10,金,鉛,QMKG,q,ian,1
1935,缺,quē,缶,10,木,缺,RMNW,q,ue,1
1936,氧,yǎng,气,10,土,氧,RNUD,y,ang,3
1937,氨,ān,气,10,水,氨,RNPV,,an,1
1938,特,tè,牜,10,火,特,TRFF,t,e,4
1939,牺,xī,牜,10,木,犧,TRSG,x,i,1
1940,造,zào,辶,10,金,造,TFKP,z,ao,4
1941,乘,"chéng,shèng",禾,10,金,乘,TUXV,ch,eng,2
1942,敌,dí,舌,10,火,敵,TDTY,d,i,2
1943,秤,chèng,禾,10,水,秤,TGUH,ch,eng,4
1944,租,zū,禾,10,金,租,TEGG,z,u,1
1945,积,jī,禾,10,火,積,TKWY,j,i,1
1946,秧,yāng,禾,10,火,秧,TMDY,y,ang,1
1947,秩,zhì,禾,10,火,秩,TRWY,zh,i,4
1948,称,"chēng,chèn,chèng",禾,10,金,稱,TQIY,ch,eng,1
1949,秘,"mì,bì",禾,10,水,秘,TNTT,m,i,4
1950,透,tòu,辶,10,火,透,TEPV,t,ou,4
1951,笔,bǐ,⺮,10,木,筆,TTFN,b,i,3
1952,笑,xiào,竹,10,金,笑,TTDU,x,iao,4
1953,笋,sǔn,竹,10,木,笋,TVTR,s,un,3
1954,债,zhài,亻,10,金,債,WGMY,zh,ai,4
1955,借,jiè,亻,10,金,藉,WAJG,j,ie,4
1956,值,zhí,亻,10,火,值,WFHG,zh,i,2
1957,倚,yǐ,亻,10,木,倚,WDSK,y,i,3
